cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,do_they_recycle,do_they_compost,needed_recycle,needed_compost
10344,7013.3,S,MOBILEHOME,0,34.4,105.11999999999999,139.51999999999998,Yes,No,105.11999999999999,
10344,7013.3,S,MOBILEHOME,0,34.4,105.11999999999999,139.51999999999998,Yes,No,105.11999999999999,
10345,668.93,S,INDUSTRIAL,0,4,1.44,5.4399999999999995,Yes,No,1.44,
10345,668.93,S,INDUSTRIAL,0,4,1.44,5.4399999999999995,Yes,No,1.44,
10346,363.91,S,WINERY,0,2,0.48,2.48,Yes,No,0.48,
10346,363.91,S,WINERY,0,2,0.48,2.48,Yes,No,0.48,
10348,1170.63,S,MULTIFAMIL,0,0,4,4,Yes,No,4,
10349,413.91,S,MULTIFAMIL,0,2,0.96,2.96,Yes,No,0.96,
10349,413.91,S,MULTIFAMIL,0,2,0.96,2.96,Yes,No,0.96,
10355,668.93,S,OFFICE BLD,0,4,0.96,4.96,Yes,No,0.96,
10355,668.93,S,OFFICE BLD,0,4,0.96,4.96,Yes,No,0.96,
10366,506.7,C,MULTIFAMIL,0,2.4,0,2.4,No,No,,
10374,363.91,S,COMMUNITY,0,2,0,2,No,No,,
10378,430.47,S,CHURCH,0.48,0,0,0.48,No,Yes,,0.48
10383,2804.07,S,OFFICE BLD,0,18,0,18,No,No,,
10384,363.91,S,CONTRACTOR,0,0,0.96,0.96,Yes,No,0.96,
10390,101.24,Y,CHURCH,0.48,0.48,0,0.96,No,Yes,,0.48
10390,101.24,Y,CHURCH,0.48,0.48,0,0.96,No,Yes,,0.48
10400,101.24,Y,OFFICE BLD,0,0.48,0.48,0.96,Yes,No,0.48,
10400,101.24,Y,OFFICE BLD,0,0.48,0.48,0.96,Yes,No,0.48,
10403,1548.35,Y,STRIP MALL,0,1.44,8.48,9.92,Yes,No,8.48,
10403,1548.35,Y,STRIP MALL,0,1.44,8.48,9.92,Yes,No,8.48,
10403,1548.35,Y,STRIP MALL,0,1.44,8.48,9.92,Yes,No,8.48,
10410,103.93,C,LODGING-FW,0.48,0,0,0.48,No,Yes,,0.48
10427,839.35,Y,COMMUNITY,0,4,1.44,5.4399999999999995,Yes,No,1.44,
10427,839.35,Y,COMMUNITY,0,4,1.44,5.4399999999999995,Yes,No,1.44,
10433,482.56,COUNTY,MEMBER,0,2,0,2,No,No,,
10442,1585.28,COUNTY,INDUSTRIAL,0,4,4.48,8.48,Yes,No,4.48,
10442,1585.28,COUNTY,INDUSTRIAL,0,4,4.48,8.48,Yes,No,4.48,
10442,1585.28,COUNTY,INDUSTRIAL,0,4,4.48,8.48,Yes,No,4.48,
10448,3499.08,COUNTY,HOSPITAL,0,12.48,0,12.48,No,No,,
10459,482.56,COUNTY,HOSPITAL,0,2,0.48,2.48,Yes,No,0.48,
10459,482.56,COUNTY,HOSPITAL,0,2,0.48,2.48,Yes,No,0.48,
10487,482.56,COUNTY,CHURCH,0,2,1.44,3.44,Yes,No,1.44,
10487,482.56,COUNTY,CHURCH,0,2,1.44,3.44,Yes,No,1.44,
10488,699.2,COUNTY,SCHOOL,0,0.96,2.56,3.52,Yes,No,2.56,
10488,699.2,COUNTY,SCHOOL,0,0.96,2.56,3.52,Yes,No,2.56,
10488,699.2,COUNTY,SCHOOL,0,0.96,2.56,3.52,Yes,No,2.56,
10490,482.56,COUNTY,SCHOOL,0,2,0.64,2.64,Yes,No,0.64,
10490,482.56,COUNTY,SCHOOL,0,2,0.64,2.64,Yes,No,0.64,
10500,363.91,S,MINI MART,0,2,1.44,3.44,Yes,No,1.44,
10500,363.91,S,MINI MART,0,2,1.44,3.44,Yes,No,1.44,
10503,667.81,COUNTY,VINEYARD,0,0,4,4,Yes,No,4,
10510,1447.1,COUNTY,VINEYARD,0,4,0,4,No,No,,
10521,2440.1,COUNTY,WINERY,2,4,0,6,No,Yes,,2
10521,2440.1,COUNTY,WINERY,2,4,0,6,No,Yes,,2
10521,2440.1,COUNTY,WINERY,2,4,0,6,No,Yes,,2
10522,134.57,COUNTY,POSTOFFICE,0,0.48,0,0.48,No,No,,
10531,2532.43,COUNTY,VINEYARD,0,0,4,4,Yes,No,4,
10556,1197.36,S,WINERY,0,6,13.92,19.92,Yes,No,13.92,
10556,1197.36,S,WINERY,0,6,13.92,19.92,Yes,No,13.92,
10556,1197.36,S,WINERY,0,6,13.92,19.92,Yes,No,13.92,
10556,1197.36,S,WINERY,0,6,13.92,19.92,Yes,No,13.92,
10556,1197.36,S,WINERY,0,6,13.92,19.92,Yes,No,13.92,
10579,171.28,S,MEMBER,0,0.48,0.96,1.44,Yes,No,0.96,
10579,171.28,S,MEMBER,0,0.48,0.96,1.44,Yes,No,0.96,
10579,171.28,S,MEMBER,0,0.48,0.96,1.44,Yes,No,0.96,
10626,438.91,S,HOME IMPRO,0,2,0,2,No,No,,
10628,515.46,C,MEDICAL,0,2,0.48,2.48,Yes,No,0.48,
10628,515.46,C,MEDICAL,0,2,0.48,2.48,Yes,No,0.48,
10638,413.91,S,OFFICE BLD,0,2,1.44,3.44,Yes,No,1.44,
10638,413.91,S,OFFICE BLD,0,2,1.44,3.44,Yes,No,1.44,
10642,363.91,S,LODGING,0,2,0.96,2.96,Yes,No,0.96,
10642,363.91,S,LODGING,0,2,0.96,2.96,Yes,No,0.96,
10648,1788.94,COUNTY,WINERY,0,4,0,4,No,No,,
10669,233.06,COUNTY,WINERY,0,0.64,0,0.64,No,No,,
10730,1856.1,COUNTY,WINERY,0,8,0,8,No,No,,
10771,1040.4,COUNTY,WINERY,0,0,8,8,Yes,No,8,
10778,32.62,S,ENTERTAINM,0,0.16,0,0.16,No,No,,
10791,131.25,COUNTY,WINERY,0,0.32,0,0.32,No,No,,
10831,503.88,S,OFFICE BLD,0.48,0,0,0.48,No,Yes,,0.48
10922,1353.97,S,OFFICE BLD,0,8,4,12,Yes,No,4,
10922,1353.97,S,OFFICE BLD,0,8,4,12,Yes,No,4,
10964,743.93,S,UTILITY,0,0,4,4,Yes,No,4,
11025,202.68,C,MULTIFAMIL,0,0.96,0,0.96,No,No,,
11049,2032.03,COUNTY,WINERY,0,0,20,20,Yes,No,20,
11049,2032.03,COUNTY,WINERY,0,0,20,20,Yes,No,20,
11132,168.9,C,MULTIFAMIL,0,0.8,0,0.8,No,No,,
11162,1723.97,COUNTY,WINERY,0,4,0.96,4.96,Yes,No,0.96,
11162,1723.97,COUNTY,WINERY,0,4,0.96,4.96,Yes,No,0.96,
11224,103.92,C,MULTIFAMIL,0,0.16,0,0.16,No,No,,
11255,1048.95,S,SCHOOL,0,6,4,10,Yes,No,4,
11255,1048.95,S,SCHOOL,0,6,4,10,Yes,No,4,
11282,97.87,S,COMMUNITY,0.32,0,0,0.32,No,Yes,,0.32
11302,1481.22,S,WINERY,6.48,4,0,10.48,No,Yes,,6.48
11302,1481.22,S,WINERY,6.48,4,0,10.48,No,Yes,,6.48
11302,1481.22,S,WINERY,6.48,4,0,10.48,No,Yes,,6.48
11309,3698.56,COUNTY,WINERY,0,4,10,14,Yes,No,10,
11309,3698.56,COUNTY,WINERY,0,4,10,14,Yes,No,10,
11309,3698.56,COUNTY,WINERY,0,4,10,14,Yes,No,10,
11342,435.94,Y,BAR NO FW,0,2,0,2,No,No,,
11349,365.88,COUNTY,PARK,0,0.48,0.48,0.96,Yes,No,0.48,
11349,365.88,COUNTY,PARK,0,0.48,0.48,0.96,Yes,No,0.48,
11436,892.19,S,WINERY,4,0,0,4,No,Yes,,4
11451,862.31,C,MULTIFAMIL,0,4,0,4,No,No,,
11457,363.91,S,RETAIL,0,0,0.96,0.96,Yes,No,0.96,
11483,3450.26,COUNTY,WINERY,0.96,8,0,8.96,No,Yes,,0.96
11483,3450.26,COUNTY,WINERY,0.96,8,0,8.96,No,Yes,,0.96
11512,163.1,S,MULTIFAMIL,0,0.8,0,0.8,No,No,,
11531,1308,Y,MEMBER,0,2,6,8,Yes,No,6,
11531,1308,Y,MEMBER,0,2,6,8,Yes,No,6,
11536,293.71,COUNTY,WINERY,0,0.48,0,0.48,No,No,,
11563,33.75,Y,HOA,0,0.16,0.48,0.64,Yes,No,0.48,
11563,33.75,Y,HOA,0,0.16,0.48,0.64,Yes,No,0.48,
11565,363.91,S,LANDSCAPER,0,2,0,2,No,No,,
11731,130.5,S,RETAIL,0,0.64,0,0.64,No,No,,
11739,1121.14,COUNTY,VINEYARD,0,4,0,4,No,No,,
11750,195.74,S,CHURCH,0.96,0.96,0,1.92,No,Yes,,0.96
11750,195.74,S,CHURCH,0.96,0.96,0,1.92,No,Yes,,0.96
11760,4606.93,C,LODGING,0,18,30,48,Yes,No,30,
11760,4606.93,C,LODGING,0,18,30,48,Yes,No,30,
11760,4606.93,C,LODGING,0,18,30,48,Yes,No,30,
11766,3884.06,C,RESTAURANT,0,12,20,32,Yes,No,20,
11766,3884.06,C,RESTAURANT,0,12,20,32,Yes,No,20,
11766,3884.06,C,RESTAURANT,0,12,20,32,Yes,No,20,
11841,1522.1,COUNTY,WINERY,0,4,0,4,No,No,,
11852,32.62,S,MULTIFAMIL,0,0.16,0,0.16,No,No,,
11870,97.87,S,WINERY,0,0.48,0,0.48,No,No,,
11920,2596.5,COUNTY,MEDICAL,0,6,0.48,6.48,Yes,No,0.48,
11920,2596.5,COUNTY,MEDICAL,0,6,0.48,6.48,Yes,No,0.48,
11972,2348.22,Y,HOA,0,4,4,8,Yes,No,4,
11972,2348.22,Y,HOA,0,4,4,8,Yes,No,4,
12099,97.87,S,DELI/CAFE,0,0.48,0.48,0.96,Yes,No,0.48,
12099,97.87,S,DELI/CAFE,0,0.48,0.48,0.96,Yes,No,0.48,
12188,2011.34,COUNTY,MEMBER,0,4,0.48,4.48,Yes,No,0.48,
12188,2011.34,COUNTY,MEMBER,0,4,0.48,4.48,Yes,No,0.48,
12227,3129.38,COUNTY,WINERY,1.28,0,0,1.28,No,Yes,,1.28
12263,139.98,S,CHURCH,0,0.48,0,0.48,No,No,,
12317,1532.6,C,MULTIFAMIL,0,4,4,8,Yes,No,4,
12317,1532.6,C,MULTIFAMIL,0,4,4,8,Yes,No,4,
12379,34.64,C,RETAIL,0,0.16,0,0.16,No,No,,
12383,33.75,Y,WINERY,0,0.16,0,0.16,No,No,,
12413,417.56,S,WINERY,0,0.96,1.92,2.88,Yes,No,1.92,
12413,417.56,S,WINERY,0,0.96,1.92,2.88,Yes,No,1.92,
12413,417.56,S,WINERY,0,0.96,1.92,2.88,Yes,No,1.92,
12415,2271.94,COUNTY,WINERY,0,0,6,6,Yes,No,6,
12470,482.56,COUNTY,POLICEFIRE,0,2,0.96,2.96,Yes,No,0.96,
12470,482.56,COUNTY,POLICEFIRE,0,2,0.96,2.96,Yes,No,0.96,
12520,415.72,C,MEMBER,0,1.92,1.92,3.84,Yes,No,1.92,
12520,415.72,C,MEMBER,0,1.92,1.92,3.84,Yes,No,1.92,
12522,44.86,COUNTY,CONTRACTOR,0,0.16,0,0.16,No,No,,
12731,34.64,C,OFFICE BLD,0,0.16,0,0.16,No,No,,
12740,67.49,Y,OFFICE BLD,0.48,0.32,0,0.8,No,Yes,,0.48
12740,67.49,Y,OFFICE BLD,0.48,0.32,0,0.8,No,Yes,,0.48
12917,810.72,C,MULTIFAMIL,0,3.84,2.4,6.24,Yes,No,2.4,
12917,810.72,C,MULTIFAMIL,0,3.84,2.4,6.24,Yes,No,2.4,
13041,166.73,S,OFFICE BLD,0.32,0.32,0,0.64,No,Yes,,0.32
13041,166.73,S,OFFICE BLD,0.32,0.32,0,0.64,No,Yes,,0.32
13066,44.86,COUNTY,OFFICE BLD,0,0.16,0,0.16,No,No,,
13130,269.14,COUNTY,MULTIFAMIL,0,0.48,0.48,0.96,Yes,No,0.48,
13130,269.14,COUNTY,MULTIFAMIL,0,0.48,0.48,0.96,Yes,No,0.48,
13143,147.96,S,VINEYARD,0,0.16,0.48,0.64,Yes,No,0.48,
13143,147.96,S,VINEYARD,0,0.16,0.48,0.64,Yes,No,0.48,
13340,134.57,COUNTY,CONTRACTOR,0,0.48,0,0.48,No,No,,
13431,4095.03,COUNTY,WINERY,0.32,6,0,6.32,No,Yes,,0.32
13431,4095.03,COUNTY,WINERY,0.32,6,0,6.32,No,Yes,,0.32
13452,1966.06,COUNTY,PARK,0,6,4,10,Yes,No,4,
13452,1966.06,COUNTY,PARK,0,6,4,10,Yes,No,4,
13457,303.72,Y,OFFICE BLD,0,1.44,0,1.44,No,No,,
13557,6836.26,Y,RESTAURANT,0,16,32,48,Yes,No,32,
13557,6836.26,Y,RESTAURANT,0,16,32,48,Yes,No,32,
13557,6836.26,Y,RESTAURANT,0,16,32,48,Yes,No,32,
13636,130.5,S,WINERY,0.96,0.32,0,1.28,No,Yes,,0.96
13636,130.5,S,WINERY,0.96,0.32,0,1.28,No,Yes,,0.96
13711,1252.72,COUNTY,VINEYARD,0,4,0,4,No,No,,
13913,727.82,S,SCHOOL,0,0,2.88,2.88,Yes,No,2.88,
13979,708.68,Y,MULTIFAMIL,0,3.36,3.36,6.72,Yes,No,3.36,
13979,708.68,Y,MULTIFAMIL,0,3.36,3.36,6.72,Yes,No,3.36,
14030,44.86,COUNTY,CHURCH,0,0.16,0,0.16,No,No,,
14177,207.86,C,MEDICAL,0,0.96,0,0.96,No,No,,
14193,439.46,C,MULTIFAMIL,0,2,0,2,No,No,,
14209,2671.8,COUNTY,WINERY,2.56,12,0,14.56,No,Yes,,2.56
14209,2671.8,COUNTY,WINERY,2.56,12,0,14.56,No,Yes,,2.56
14325,278.4,Y,POSTOFFICE,0,0.96,0.96,1.92,Yes,No,0.96,
14325,278.4,Y,POSTOFFICE,0,0.96,0.96,1.92,Yes,No,0.96,
14325,278.4,Y,POSTOFFICE,0,0.96,0.96,1.92,Yes,No,0.96,
14334,2866.26,S,MULTIFAMIL,0,16,0,16,No,No,,
14381,134.57,COUNTY,MEDICAL,0,0.48,0,0.48,No,No,,
14520,34.64,C,WINERY,0,0.16,0.48,0.64,Yes,No,0.48,
14520,34.64,C,WINERY,0,0.16,0.48,0.64,Yes,No,0.48,
14682,44.86,COUNTY,VINEYARD,0,0.16,0,0.16,No,No,,
14698,179.42,COUNTY,LODGING-FW,0,0.32,0,0.32,No,No,,
14772,69.28,C,WINERY,0.48,0.32,0,0.8,No,Yes,,0.48
14772,69.28,C,WINERY,0.48,0.32,0,0.8,No,Yes,,0.48
14793,311.79,C,LODGING,0,1.44,0,1.44,No,No,,
14953,890.4,COUNTY,MULTIFAMIL,0.64,4,0,4.64,No,Yes,,0.64
14953,890.4,COUNTY,MULTIFAMIL,0.64,4,0,4.64,No,Yes,,0.64
15200,3741.12,C,MEMBER,0,17.28,1.44,18.720000000000002,Yes,No,1.44,
15200,3741.12,C,MEMBER,0,17.28,1.44,18.720000000000002,Yes,No,1.44,
15200,3741.12,C,MEMBER,0,17.28,1.44,18.720000000000002,Yes,No,1.44,
15204,89.71,COUNTY,POLICEFIRE,0,0.32,0,0.32,No,No,,
15224,0,C,SCHOOL,2.56,0,0,2.56,No,Yes,,2.56
15246,1170.67,COUNTY,WINERY,0,0,4,4,Yes,No,4,
15259,1071.82,S,VINEYARD,0,6,0,6,No,No,,
15408,631.71,COUNTY,VINEYARD,0.48,2,0,2.48,No,Yes,,0.48
15408,631.71,COUNTY,VINEYARD,0.48,2,0,2.48,No,Yes,,0.48
15460,303.72,Y,RESTAURANT,0,1.44,1.44,2.88,Yes,No,1.44,
15460,303.72,Y,RESTAURANT,0,1.44,1.44,2.88,Yes,No,1.44,
15511,708.93,S,LODGING,0,4,0,4,No,No,,
15640,415.72,C,LODGING,0.96,0.48,0,1.44,No,Yes,,0.96
15640,415.72,C,LODGING,0.96,0.48,0,1.44,No,Yes,,0.96
15641,179.44,COUNTY,MULTIFAMIL,0,0.64,0.96,1.6,Yes,No,0.96,
15641,179.44,COUNTY,MULTIFAMIL,0,0.64,0.96,1.6,Yes,No,0.96,
15672,391.48,S,MULTIFAMIL,0,1.92,1.44,3.36,Yes,No,1.44,
